System Code,Utility Name,Contaminant Name,Potential Effect,Times Above Guideline,Utility Level,PFAS Name,Detects Samples,Percent Detected,Range,Dates,Proposed Limit
AK2310683,University of Alaska - Fairbanks,Arsenic,Potential Effect: cancer,425x,1.70 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Bromodichloromethane,Potential Effect: cancer,122x,7.30 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Chloroform,Potential Effect: cancer,146x,58.4 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Chromium (hexavalent)*,Potential Effect: cancer,2.6x,0.0525 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Dibromochloromethane,Potential Effect: cancer,4.4x,0.438 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Dichloroacetic acid,Potential Effect: cancer,42x,8.37 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Haloacetic acids (HAA5)†,Potential Effect: cancer,213x,21.3 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Haloacetic acids (HAA9)*†,Potential Effect: cancer,355x,21.3 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Nitrate and nitrite,Potential Effect: cancer,13x,1.75 ppm,,,,,,
AK2310683,University of Alaska - Fairbanks,Perfluorooctanoic acid (PFOA)*,Potential Effect: cancer,152x,1.07 ppt,,,,,,
AK2310683,University of Alaska - Fairbanks,"Radium, combined (-226 & -228)",Potential Effect: cancer,9.8x,0.49 pCi/L,,,,,,
AK2310683,University of Alaska - Fairbanks,Total trihalomethanes (TTHMs)†,Potential Effect: cancer,441x,66.2 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Trichloroacetic acid,Potential Effect: cancer,130x,13.0 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,"1,1-Dichloroethane*",Unknown,Unknown,0.0300 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Barium,Unknown,Unknown,160.0 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Chlorate*,Unknown,Unknown,402.5 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Chromium (total),Unknown,Unknown,1.000 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Fluoride,Unknown,Unknown,0.1000 ppm,,,,,,
AK2310683,University of Alaska - Fairbanks,Manganese*,Unknown,Unknown,0.932 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Perfluorohexane sulfonate (PFHXS)*,Unknown,Unknown,1.83 ppt,,,,,,
AK2310683,University of Alaska - Fairbanks,Perfluorohexanoic Acid (PFHxA)*,Unknown,Unknown,3.00 ppt,,,,,,
AK2310683,University of Alaska - Fairbanks,Perfluorooctane sulfonate (PFOS)*,Unknown,Unknown,0.900 ppt,,,,,,
AK2310683,University of Alaska - Fairbanks,Strontium*,Unknown,Unknown,0.238 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,Vanadium*,Unknown,Unknown,0.200 ppb,,,,,,
AK2310683,University of Alaska - Fairbanks,,,,,PFHxA,1 / 2,50%,0.0 - 3.1 ppt,03/08/2023 - 09/11/2023,
AK2310683,University of Alaska - Fairbanks,,,,,PFHxS,2 / 2,100%,4.7 - 5.7 ppt,03/08/2023 - 09/11/2023,Hazard Index
AK2224646,Wasilla Water System,Arsenic,Potential Effect: cancer,"1,785x",7.14 ppb,,,,,,
AK2224646,Wasilla Water System,Bromodichloromethane,Potential Effect: cancer,41x,2.46 ppb,,,,,,
AK2224646,Wasilla Water System,Chloroform,Potential Effect: cancer,18x,7.23 ppb,,,,,,
AK2224646,Wasilla Water System,Chromium (hexavalent),Potential Effect: cancer,4.2x,0.0842 ppb,,,,,,
AK2224646,Wasilla Water System,Dibromochloromethane,Potential Effect: cancer,9.9x,0.989 ppb,,,,,,
AK2224646,Wasilla Water System,Dichloroacetic acid,Potential Effect: cancer,12x,2.33 ppb,,,,,,
AK2224646,Wasilla Water System,Haloacetic acids (HAA5)†,Potential Effect: cancer,44x,4.36 ppb,,,,,,
AK2224646,Wasilla Water System,Haloacetic acids (HAA9)†,Potential Effect: cancer,108x,6.45 ppb,,,,,,
AK2224646,Wasilla Water System,Nitrate and nitrite,Potential Effect: cancer,3.1x,0.435 ppm,,,,,,
AK2224646,Wasilla Water System,Total trihalomethanes (TTHMs)†,Potential Effect: cancer,72x,10.8 ppb,,,,,,
AK2224646,Wasilla Water System,Trichloroacetic acid,Potential Effect: cancer,19x,1.90 ppb,,,,,,
AK2224646,Wasilla Water System,Barium,Unknown,Unknown,18.6 ppb,,,,,,
AK2224646,Wasilla Water System,Bromoform,Unknown,Unknown,0.0256 ppb,,,,,,
AK2224646,Wasilla Water System,Cadmium,Unknown,Unknown,0.0216 ppb,,,,,,
AK2224646,Wasilla Water System,Chlorate,Unknown,Unknown,30.1 ppb,,,,,,
AK2224646,Wasilla Water System,Chlorodifluoromethane,Unknown,Unknown,0.203 ppb,,,,,,
AK2224646,Wasilla Water System,Chromium (total),Unknown,Unknown,0.158 ppb,,,,,,
AK2224646,Wasilla Water System,Dibromoacetic acid,Unknown,Unknown,0.0250 ppb,,,,,,
AK2224646,Wasilla Water System,Manganese,Unknown,Unknown,69.8 ppb,,,,,,
AK2224646,Wasilla Water System,Molybdenum,Unknown,Unknown,0.0833 ppb,,,,,,
AK2224646,Wasilla Water System,"Radium, combined (-226 & -228)",Unknown,Unknown,0.07 pCi/L,,,,,,
AK2224646,Wasilla Water System,Strontium,Unknown,Unknown,0.161 ppb,,,,,,
AK2224646,Wasilla Water System,Toluene,Unknown,Unknown,0.0906 ppb,,,,,,
AK2224646,Wasilla Water System,Vanadium,Unknown,Unknown,0.792 ppb,,,,,,
AK2224646,Wasilla Water System,Xylenes (total),Unknown,Unknown,0.0559 ppb,,,,,,
AK2224646,Wasilla Water System,,,,,PFHxS,2 / 9,22%,0.0 - 4.2 ppt,08/15/2023 - 02/05/2024,Hazard Index
