Town,State,ZipCode,System Code,Utility Name,Contaminant Name,Potential Effect,Times Above Guideline,Utility Level,PFAS Name,Detects Samples,Percent Detected,Range,Dates,Proposed Limit
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Arsenic,Potential Effect: cancer,"1,075x",4.30 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Bromodichloromethane,Potential Effect: cancer,4.4x,0.264 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Dibromoacetic acid,Potential Effect:,4.2x,0.167 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Dibromochloromethane,Potential Effect: cancer,6.5x,0.655 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,"Radium, combined (-226 & -228)",Potential Effect: cancer,53x,2.63 pCi/L,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Total trihalomethanes (TTHMs)†,Potential Effect: cancer,11x,1.60 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Barium,Unknown,Unknown,200.5 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Bromoform,Unknown,Unknown,0.445 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Fluoride,Unknown,Unknown,0.300 ppm,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Haloacetic acids (HAA5)†,Unknown,Unknown,0.167 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Manganese,Unknown,Unknown,15.3 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Nitrate,Unknown,Unknown,0.00286 ppm,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Selenium,Unknown,Unknown,1.50 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Uranium,Unknown,Unknown,0.40 pCi/L,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Arsenic,Potential Effect: cancer,288x,1.15 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Bromochloroacetic acid,Potential Effect:,297x,5.94 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Bromodichloromethane,Potential Effect: cancer,127x,7.62 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Chloroform,Potential Effect: cancer,41x,16.4 ppb,,,,,,
